timestamp,username,action,entity_type,entity_id,description
2025-06-11T21:42:26.030207,approver,login,User,f59f542d-07c4-4b31-8a7f-bcbbdec99aa7,User logged in successfully.
2025-06-11T21:42:41.448793,approver,updated,policy,a0539b92-174c-4aa9-8007-53d70ca03b93,Policy '' updated.
2025-06-11T21:42:45.252448,approver,logout,User,f59f542d-07c4-4b31-8a7f-bcbbdec99aa7,User logged out.
2025-06-11T21:42:51.477517,creator,login,User,d61c1edd-ce76-448d-9a76-2ab54acbb974,User logged in successfully.
2025-06-11T21:42:59.676914,creator,delete,Policy,a0539b92-174c-4aa9-8007-53d70ca03b93,"Policy ""Test Policy 2"" deleted."
2025-06-11T21:52:48.777170,creator,created,policy,c297b2c6-31fe-496a-88bf-b37905f8be3a,Policy 'Test Policy 2' created.
2025-06-11T21:52:50.971465,creator,logout,User,d61c1edd-ce76-448d-9a76-2ab54acbb974,User logged out.
2025-06-11T21:52:58.427663,approver,login,User,f59f542d-07c4-4b31-8a7f-bcbbdec99aa7,User logged in successfully.
2025-06-11T21:53:12.803108,approver,updated,policy,c297b2c6-31fe-496a-88bf-b37905f8be3a,Policy '' updated.
2025-06-11T21:53:14.008014,approver,logout,User,f59f542d-07c4-4b31-8a7f-bcbbdec99aa7,User logged out.
2025-06-11T21:53:21.448289,creator,login,User,d61c1edd-ce76-448d-9a76-2ab54acbb974,User logged in successfully.
2025-06-11T21:53:37.013132,creator,updated,policy,c297b2c6-31fe-496a-88bf-b37905f8be3a,Policy 'Test Policy 2' updated.
2025-06-11T21:53:38.877171,creator,logout,User,d61c1edd-ce76-448d-9a76-2ab54acbb974,User logged out.
2025-06-11T21:53:49.875614,approver,login,User,f59f542d-07c4-4b31-8a7f-bcbbdec99aa7,User logged in successfully.
2025-06-11T21:53:52.549692,approver,updated,policy,c297b2c6-31fe-496a-88bf-b37905f8be3a,Policy '' updated.
2025-06-11T21:53:52.550227,approver,approve_and_enable,Policy,c297b2c6-31fe-496a-88bf-b37905f8be3a,"Policy ""Test Policy 2"" was approved and enabled."
2025-06-11T21:53:54.592539,approver,updated,policy,c297b2c6-31fe-496a-88bf-b37905f8be3a,Policy '' updated.
2025-06-11T21:54:01.119001,approver,updated,policy,c297b2c6-31fe-496a-88bf-b37905f8be3a,Policy '' updated.
2025-06-11T23:03:23.100557,approver,logout,User,f59f542d-07c4-4b31-8a7f-bcbbdec99aa7,User logged out.
2025-06-11T23:03:33.683550,creator,login,User,d61c1edd-ce76-448d-9a76-2ab54acbb974,User logged in successfully.
2025-06-11T23:04:00.114151,creator,created,policy,6ae799e4-ae40-4046-bcdc-5e42910bd0f5,Policy 'Test Policy 3' created.
2025-06-11T23:04:07.027797,creator,logout,User,d61c1edd-ce76-448d-9a76-2ab54acbb974,User logged out.
2025-06-11T23:04:20.683449,approver,login,User,f59f542d-07c4-4b31-8a7f-bcbbdec99aa7,User logged in successfully.
2025-06-11T23:04:34.959274,approver,updated,policy,6ae799e4-ae40-4046-bcdc-5e42910bd0f5,Policy '' updated.
2025-06-11T23:04:36.452519,approver,logout,User,f59f542d-07c4-4b31-8a7f-bcbbdec99aa7,User logged out.
2025-06-11T23:04:42.878558,creator,login,User,d61c1edd-ce76-448d-9a76-2ab54acbb974,User logged in successfully.
2025-06-11T23:05:05.375684,creator,delete,Policy,6ae799e4-ae40-4046-bcdc-5e42910bd0f5,"Policy ""Test Policy 3"" deleted."
2025-06-11T23:05:22.750762,creator,logout,User,d61c1edd-ce76-448d-9a76-2ab54acbb974,User logged out.
2025-06-11T23:05:28.104427,admin,login_failed,User,N/A,Failed login attempt.
2025-06-11T23:05:34.337261,admin,login,User,dcd29fae-dc93-4c09-983d-6399d495216c,User logged in successfully.
2025-06-11T23:12:14.231100,admin,download,Report,policies_report,Policies report downloaded.
2025-06-11T23:33:38.325128,admin,add,Category,Test,"Category ""Test"" added."
2025-06-11T23:33:41.073322,admin,delete,Category,Test,"Category ""Test"" deleted."
2025-06-11T23:34:01.190132,admin,delete,Group,172c4bb3-e4cd-46bf-80ed-d3f5fceb09b8,"Group ""RPA"" deleted."
2025-06-11T23:48:06.424115,admin,delete,User,89f2b78a-ac73-4e24-9071-38049557b8b8,"User ""creator1"" deleted."
2025-06-11T23:49:34.997277,admin,add,User,f18dd8ec-3652-4bdd-b668-cb041f1814fd,"User ""testuser"" added."
2025-06-11T23:50:12.923514,admin,add,User,e2a08b9c-d6f0-4b81-9230-a8a58e03c44a,"User ""Vcreator"" added."
2025-06-11T23:50:17.661298,admin,logout,User,dcd29fae-dc93-4c09-983d-6399d495216c,User logged out.
2025-06-11T23:50:32.125527,Vcreator,login,User,e2a08b9c-d6f0-4b81-9230-a8a58e03c44a,User logged in successfully.
2025-06-11T23:51:49.676449,Vcreator,created,policy,b4e26b01-2356-4de8-b647-5d6b3c0e1316,Policy 'Test Policy 5' created.
2025-06-11T23:51:53.411467,Vcreator,logout,User,e2a08b9c-d6f0-4b81-9230-a8a58e03c44a,User logged out.
2025-06-11T23:52:03.061625,approver,login,User,f59f542d-07c4-4b31-8a7f-bcbbdec99aa7,User logged in successfully.
2025-06-11T23:52:09.786964,approver,logout,User,f59f542d-07c4-4b31-8a7f-bcbbdec99aa7,User logged out.
2025-06-11T23:52:16.267536,admin,login_failed,User,N/A,Failed login attempt.
2025-06-11T23:52:24.118356,admin,login,User,dcd29fae-dc93-4c09-983d-6399d495216c,User logged in successfully.
2025-06-11T23:52:43.019060,admin,logout,User,dcd29fae-dc93-4c09-983d-6399d495216c,User logged out.
2025-06-11T23:52:50.417769,testuser,login,User,f18dd8ec-3652-4bdd-b668-cb041f1814fd,User logged in successfully.
2025-06-11T23:52:54.810695,testuser,updated,policy,b4e26b01-2356-4de8-b647-5d6b3c0e1316,Policy '' updated.
2025-06-11T23:52:54.813810,testuser,approve_and_enable,Policy,b4e26b01-2356-4de8-b647-5d6b3c0e1316,"Policy ""Test Policy 5"" was approved and enabled."
2025-06-11T23:53:08.078003,testuser,logout,User,f18dd8ec-3652-4bdd-b668-cb041f1814fd,User logged out.
2025-06-11T23:53:16.159618,admin,login,User,dcd29fae-dc93-4c09-983d-6399d495216c,User logged in successfully.
2025-06-11T23:59:40.497447,admin,logout,User,dcd29fae-dc93-4c09-983d-6399d495216c,User logged out.
2025-06-11T23:59:47.124780,testuser,login,User,f18dd8ec-3652-4bdd-b668-cb041f1814fd,User logged in successfully.
2025-06-11T23:59:52.483759,testuser,logout,User,f18dd8ec-3652-4bdd-b668-cb041f1814fd,User logged out.
2025-06-11T23:59:57.827488,admin,login_failed,User,N/A,Failed login attempt.
2025-06-12T00:00:03.791765,admin,login,User,dcd29fae-dc93-4c09-983d-6399d495216c,User logged in successfully.
2025-06-12T00:00:49.729758,admin,add,User,7e6e74c4-82a3-4fdc-bb94-06f58ff8bfa1,"User ""GViewer"" added."
2025-06-12T00:00:52.508737,admin,logout,User,dcd29fae-dc93-4c09-983d-6399d495216c,User logged out.
2025-06-12T00:01:01.179187,GViewer,login,User,7e6e74c4-82a3-4fdc-bb94-06f58ff8bfa1,User logged in successfully.
2025-06-12T00:01:07.475778,GViewer,logout,User,7e6e74c4-82a3-4fdc-bb94-06f58ff8bfa1,User logged out.
2025-06-12T00:01:18.445981,Vcreator,login,User,e2a08b9c-d6f0-4b81-9230-a8a58e03c44a,User logged in successfully.
2025-06-12T00:01:46.760684,Vcreator,created,policy,7105bbb5-3944-4934-8f95-5169b1306a96,Policy 'Test Policy 6' created.
2025-06-12T00:01:50.542413,Vcreator,logout,User,e2a08b9c-d6f0-4b81-9230-a8a58e03c44a,User logged out.
2025-06-12T00:01:58.350468,testuser,login,User,f18dd8ec-3652-4bdd-b668-cb041f1814fd,User logged in successfully.
2025-06-12T00:02:05.422883,testuser,logout,User,f18dd8ec-3652-4bdd-b668-cb041f1814fd,User logged out.
2025-06-12T00:02:13.198081,approver,login,User,f59f542d-07c4-4b31-8a7f-bcbbdec99aa7,User logged in successfully.
2025-06-12T00:02:17.903840,approver,updated,policy,7105bbb5-3944-4934-8f95-5169b1306a96,Policy '' updated.
2025-06-12T00:39:34.096488,approver,logout,User,f59f542d-07c4-4b31-8a7f-bcbbdec99aa7,User logged out.
2025-06-12T00:39:42.535004,creator,login,User,d61c1edd-ce76-448d-9a76-2ab54acbb974,User logged in successfully.
2025-06-12T00:40:07.849933,creator,created,policy,eb58c9e6-8a32-4be0-9592-c98a7c628a4c,Policy 'Test Policy 9' created.
2025-06-12T00:41:48.592769,creator,created,policy,a3034fa7-2697-4eca-85ba-7915bfa8b6f9,Policy 'testpol10' created.
2025-06-12T00:42:40.815475,creator,created,policy,b298c602-f45a-4b25-a6a1-e7eb90063b79,Policy 'testpol12' created.
2025-06-12T00:57:33.047556,creator,logout,User,d61c1edd-ce76-448d-9a76-2ab54acbb974,User logged out.
2025-06-12T00:57:39.380278,admin,login,User,dcd29fae-dc93-4c09-983d-6399d495216c,User logged in successfully.
2025-06-12T00:58:25.374526,admin,add,User,9eae44b7-fab2-4878-b0e0-e49c92d17821,"User ""testinguser"" added."
2025-06-12T00:58:56.282645,admin,updated,policy,eb58c9e6-8a32-4be0-9592-c98a7c628a4c,Policy '' updated.
2025-06-12T00:59:18.352494,admin,updated,policy,a3034fa7-2697-4eca-85ba-7915bfa8b6f9,Policy '' updated.
2025-06-12T00:59:32.658039,admin,updated,policy,b298c602-f45a-4b25-a6a1-e7eb90063b79,Policy '' updated.
